clave_nombre,id,sku,nombre_comercial,molecula,forma,laboratorio,foto_url,total_grupo,lab_distintos
ACIDO FOLICO 10 MG,37354,ME4630/3,ACIDO FOLICO 10 mg X 20 COMPRIMIDOS,Folico Acido,COMPRIMIDOS,MEGALABS S.A.,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/24.jpg,11,6
ACIDO FOLICO 10 MG,37355,ME4630/4,ACIDO FOLICO 10 mg X 30 COMPRIMIDOS,Folico Acido,COMPRIMIDOS,MEGALABS S.A.,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/90738.jpg,11,6
ACIDO FOLICO 10 MG,37356,ME4630/2,ACIDO FOLICO 10 mg X 10 COMPRIMIDOS,Folico Acido,COMPRIMIDOS,MEGALABS S.A.,https://pccentro.net.ve/img/s/9/6/0/9/0/96090-large_default.webp,11,6
ACIDO FOLICO 10 MG,37357,ME38298,ACIDO FOLICO 10 mg X 30 COMPRIMIDOS,Folico Acido,COMPRIMIDOS,"LABORATORIOS LETI, S.A.V.",https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/98454.jpg,11,6
ACIDO FOLICO 10 MG,37359,ME33559,ACIDO FOLICO 10 mg X 30 TABLETAS,Folico Acido,TABLETAS,"CALOX INTERNATIONAL, C.A.",https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/29544.jpg,11,6
ACIDO FOLICO 10 MG,39018,ME29911/2,ACIDO FOLICO 10 mg X 20 TABLETAS,Folico Acido,TABLETAS,LABORATORIOS SIEGFRIED S.A.,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/4100.jpg,11,6
ACIDO FOLICO 10 MG,39019,ME29911/3,ACIDO FOLICO 10 mg X 30 TABLETAS,Folico Acido,TABLETAS,LABORATORIOS SIEGFRIED S.A.,https://pccentro.net.ve/img/s/9/6/0/9/0/96090-large_default.webp,11,6
ACIDO IBANDRONICO 150 MG,37302,ME43094,ACIDO IBANDRONICO 150 mg X 1 TABLETAS RECUBIERTAS,Acido Ibandronico Sodio Monohidrato,TABLETAS,MASCOT HEALTH SERIES PVT. LTD.,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/52763.jpg,2,2
ACIDO IBANDRONICO 150 MG,37366,ME38066,ACIDO IBANDRONICO 150 mg X 1 TABLETAS RECUBIERTAS,,TABLETAS,"CALOX INTERNATIONAL, C.A.",,2,2
ACETAMINOFEN 650MG,37309,ME43639/2,ACETAMINOFEN 650mg X 10 TABLETAS,Acetaminofen,TABLETAS,"LABORATORIOS L.O. OFTALMI, C.A.",https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/11552.jpg,3,1
ACETAMINOFEN 650MG,37310,ME43639/3,ACETAMINOFEN 650mg X 20 TABLETAS,Acetaminofen,TABLETAS,"LABORATORIOS L.O. OFTALMI, C.A.",https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/22403.jpg,3,1
ACETAMINOFEN 650MG,37311,ME43639/4,ACETAMINOFEN 650mg X 30 TABLETAS,Acetaminofen,TABLETAS,"LABORATORIOS L.O. OFTALMI, C.A.",https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/15591.jpg,3,1
