id,nombre,sinonimos,atc_id,descripcion
509,B-piridin-carboxilico,,,
375,Bacillus Pfeiffer,,,
376,Bacilo Calmette-guerin Subcepa Moscu,,,
377,"Bacilo Calmette-guerin,cepa Danesa 1331, Vivo Atenuado",,,
382,Balsamo Nicaragua,,,
383,Balsamo Peru,,,
384,Balsamo Tolu,,,
385,Balsamo Tolu Exto Fluido,,,
388,Bardana,,,
391,Bario Sulfato,,,
397,Bcg Atenuado,,,
398,Bcg Cultivo Vivo Desecado,,,
3823,Bcnu,,,
406,Belladona Exto Blando,,,
414,Bencenocarboxilico Acido,,,
415,Bencidamida,,,
419,Bencilparaben,,,
428,Bendrofluazida,,,
431,Benoxinato,,,
433,Benserazida,,,
434,Benserazida Hidrocloruro,,,
439,Benzhidramina,,,
441,Benzoato Sodio,,,
3825,Benzoilo Peroxido,,,
446,Bergamota,,,
449,Besilesomab,,,
450,Beta Glucuronidasa Humana Recombinante,,,
451,Beta-dimetilaminoetil Benzhidril Eter,,,
452,"Beta-dimetilaminoetil Benzhidril Eter 1,3-dimetil-8-cloroxantina",,,
464,Beta-picolinico,,,
468,Betula Alba,,,
469,Betula Pendula R.,,,
470,Betula Pendula R. Extracto Seco,,,
477,Bicisato Dihidrocloruro,,,
479,Bictegravir Sodio,,,
3826,Bim-23014,,,
488,Bisbutiamina,,,
489,Bisibutiamina,,,
490,Bismalva,,,
491,Bismuto Subcitrato,,,
492,Bismuto Subcitrato Coloidal,,,
493,Bismuto Subcitrato Potasio,,,
3831,Bithiol,,,
3832,Bituminol,,,
3833,"Bm 06,022",,,
3834,Bms-186295,,,
3835,Bms-224818,,,
3836,Bmy-28142,,,
3837,Boldo,,,
500,Bordetella Pertussis Hemaglutinina Filamentosa,,,
501,Bordetella Pertussis Pertactina,,,
502,Bordetella Pertussis Pertactina (prot.memb.externa 69kd),,,
503,Bordetella Pertussis Proteina Meb Externa 69kd,,,
504,Bordetella Pertussis Toxoide,,,
510,Brea Hulla,,,
511,Brea Mineral,,,
513,Bretovameran,,,
3840,Brl 42810,,,
3841,Brl 43694,,,
535,Bromovinildesoxiuridina,,,
536,Bromprofenpiridamina,,,
3842,Bronopol,,,
539,Brovanexina,,,
540,Brovanexina Hidrocloruro,,,
3843,Broxime,,,
3844,Brozime,,,
554,Butilparaben,,,
3847,Bythyol,,,
562,Cacahuete,,,
563,"Cacahuete Polvo Desengrasado, Semillas",,,
567,Cajeputol,,,
573,Calcio Cloruro,,,
574,Calcio Cloruro Anhidro,,,
575,Calcio Cloruro Dihidrato,,,
580,Calcitonina Salmon Sintetica,,,
582,Camelia Thea Link,,,
