producto_id,nombre,sku,fuente,principio_activo,molecula_enlazada,ref_id,atc_id
37685,CARBONATO DE LITIO 300 MG X 20 CAPSULAS,ME1642,INHRR,CARBONATO DE LITIO,Litio,4183,5297
37711,CEFAZOLINA 1 G X 10 AMPOLLAS,HO44435,INHRR,CEFAZOLINA SODICA,Cefazolina,670,3257
37712,CEFIXIMA 400 MG X 5 CAPSULAS,ME40533,INHRR,CEFIXIMA TRIHIDRATO,Cefixima,675,3285
37714,CEFIXIMA 400 MG X 5 TABLETAS RECUBIERTAS,ME44329,INHRR,CEFIXIMA TRIHIDRATO,Cefixima,675,3285
37715,CEFIXIMA 400 MG X 10 TABLETAS DISPERSABLES,ME44129,INHRR,CEFIXIMA TRIHIDRATO,Cefixima,675,3285
37718,CEFOTAS 500 MG X 20 CAPSULAS,ME43917,INHRR,CEFADROXILO MONOHIDRATO ,Cefadroxilo,666,3258
37720,CEFTRIAXONA 1 G POLVO PARA SOLUCION INYECTABLE,HO29420,INHRR,CEFTRIAXONA SODICA,Ceftriaxona,687,3281
37724,CETERIX 5 MG / 5 ML SOLUCION ORAL,ME43858,INHRR,CETIRIZINA CLORHIDRATO,Cetirizina,710,6544
37725,CETIDEX 5 MG / 5 ML SOLUCION ORAL,ME44376,INHRR,CETIRIZINA DICLORHIDRATO,Cetirizina,710,6544
37727,CETIRIZINA CLORHIDRATO 10 MG X 10 TABLETAS RECUBIERTAS,ME42717,INHRR,CETIRIZINA CLORHIDRATO,Cetirizina,710,6544
37732,CETRAL 10 MG / ML SOLUCION ORAL,ME29123,INHRR,CETIRIZINA CLORHIDRATO,Cetirizina,710,6544
37739,CICLOFTAL1 % SOLUCION OFTALMICA,ME27924,INHRR,CLORHIDRATO DE CICLOPENTOLATO,Ciclopentolato,732,6511
37768,CALCITREX D3 1500 MG - 200 UI X 30 TABLETAS,ME33790,INHRR,CITRATO DE CALCIO,Calcio,571,93
37768,CALCITREX D3 1500 MG - 200 UI X 30 TABLETAS,ME33790,INHRR,CITRATO DE CALCIO,Vitamina D3,3735,
37783,CLINDAMICINA 300 MG X 16 CAPSULAS,ME44654,INHRR,CLORHIDRATO DE CLINDAMICINA,Clindamicina,812,2609
37786,CLOFEN 100 MG X 10 CAPSULAS DE ACCION PROLONGADA,ME29523,INHRR,DICLOFENACO POTASICO,Diclofenaco,1073,2675
37809,CLOPTAN 75 MG X 30 TABLETAS RECUBIERTAS,ME43778,INHRR,CLOPIDOGREL BISULFATO,Clopidogrel,3940,936
37813,CLORACOLD 30 MG - 5 MG / 5 ML SOLUCION ORAL,ME43777,INHRR,AMBROXOL CLORHIDRATO - LORATADINA,Ambroxol,181,5950
37814,DOPALEN 200 MG X 30 CAPSULAS DE LIBERACION PROLONGADA,ME43585/4,INHRR,CLORHIDRATO DE MEBEVERINA - CLORHIDRATO DE MEBEVERINA,Mebeverina,2204,172
37815,DOPALEN 200 MG X 10 CAPSULAS DE LIBERACION PROLONGADA,ME43585/2,INHRR,CLORHIDRATO DE MEBEVERINA - CLORHIDRATO DE MEBEVERINA,Mebeverina,2204,172
37816,DOPALEN 200 MG X 20 CAPSULAS DE LIBERACION PROLONGADA,ME43585/3,INHRR,CLORHIDRATO DE MEBEVERINA - CLORHIDRATO DE MEBEVERINA,Mebeverina,2204,172
37827,COZOMINA T 2 % - 0.5 % SOLUCION OFTALMICA,ME44294,INHRR,TIMOLOL MALEATO - DORZOLAMIDA CLORHIDRATO,Timolol,4196,1797
37827,COZOMINA T 2 % - 0.5 % SOLUCION OFTALMICA,ME44294,INHRR,TIMOLOL MALEATO - DORZOLAMIDA CLORHIDRATO,Dorzolamida,1149,6480
37837,CONTRADOL 100 MG / ML SOLUCION ORAL,ME43002,INHRR,TRAMADOL CLORHIDRATO,Tramadol,3473,5004
37839,CORBIS 10 MG X 30 COMPRIMIDOS RECUBIERTOS,ME40574,INHRR,BISOPROLOL FUMARATO,Bisoprolol,3830,1815
37840,CORBIS 5 MG X 30 COMPRIMIDOS RECUBIERTOS,ME42767,INHRR,BISOPROLOL FUMARATO,Bisoprolol,3830,1815
37850,CORTYNASE PLUS 50 MCG - 140 MCG / DOSIS SUSPENSION NASAL,ME44702,INHRR,MOMETASONA FUROATO - AZELASTINA CLORHIDRATO,Azelastina,362,6541
