producto_id,sku,nombre_comercial,nucleo,molecula,forma,laboratorio,motivo
37695,ME38916/2,CARVEDILOL 6.5 MG X 14 TABLETAS,CARVEDILOL,Carvedilol,TABLETAS,"OKASA PHARMA,PVT,LTDA.",sin_desc_lab
37696,ME38916/5,CARVEDILOL 6.5 MG X 28 TABLETAS,CARVEDILOL,Carvedilol,TABLETAS,"OKASA PHARMA,PVT,LTDA.",sin_desc_lab
37704,ME30368,CEFADROXILO 500 MG X 10 CAPSULAS,CEFADROXILO,,CAPSULAS,FARMACOOP LTDA.,sin_desc_lab
37705,ME27532,CEFADROXILO 500 MG X 10 CAPSULAS,CEFADROXILO,Cefadroxilo,CAPSULAS,SYNTOFARMA S.A.,sin_desc_lab
37707,ME31345,CEFADROXILO 250 MG / 5 ML POLVO PARA SUSPENSION ORAL,CEFADROXILO,Cefadroxilo,POLVO PARA RECONSTITUCION,SYNTOFARMA S.A.,sin_desc_lab
37708,ME42857,CEFADROXILO 500 MG X 10 TABLETAS,CEFADROXILO,Cefadroxilo,TABLETAS,MARS REMEDIES PVT. LTD.,sin_desc_lab
37709,ME40269,CEFALEXINA 125 MG / 5 ML POLVO PARA SUSPENSION ORAL,CEFALEXINA,Cefalexina,POLVO PARA RECONSTITUCION,"EMPRESA FARMACEUTICA ""8 DE MARZO""",sin_desc_lab
37711,HO44435,CEFAZOLINA 1 G X 10 AMPOLLAS,CEFAZOLINA,Cefazolina,INYECTABLE,FARMALOGICA S.A.,sin_desc_lab
37715,ME44129,CEFIXIMA 400 MG X 10 TABLETAS DISPERSABLES,CEFIXIMA,Cefixima,TABLETAS,BAROQUE PHARMACEUTICALS PVT. LTD.,sin_desc_lab
37717,HO43171,CEFOPERAZONA - SULBACTAM 1 G - 0.5 G X 1 AMPOLLA,CEFOPERAZONA - SULBACTAM,Sulbactam,INYECTABLE,"REYOUNG PHARMACEUTICAL CO., LTD",sin_desc_lab
