id,sku,nombre_comercial,foto_url
39019,ME29911/3,ACIDO FOLICO 10 MG X 30 TABLETAS,
39022,ME29912,ACIDO FOLICO 5 MG X 30 TABLETAS,
39023,ME31178,ACIDO FOLICO 10 MG / ML SOLUCION ORAL,
39026,ME44293,OLOCOF 0.02 % SOLUCION OFTALMICA,
39027,ME33777/2,AIRON 5 MG X 10 TABLETAS MASTICABLES,
39029,ME39048/2,ALBENDAZOL 200 MG X 2 TABLETAS MASTICABLES SABOR A BANANA,
39030,ME39048/3,ALBENDAZOL 200 MG X 6 TABLETAS MASTICABLES SABOR A BANANA,
39032,ME34717,ALIPAL FORTE NOCHE 650 MG - 4 MG X 12 CAPSULAS,
39034,ME41701,ALIVET PLUS COMPRIMIDOS RECUBIERTOS,
39035,ME30270/2,AMLODIPINA 10 MG X 20 TABLETAS,
39036,ME30270/3,AMLODIPINA 10 MG X 30 TABLETAS,
39039,ME44262,BISOPROLOL FUMARATO - AMLODIPINA 5 MG - 10 MG COMPRIMIDOS,
39041,ME30269,AMLODIPINA 5 MG X 30 TABLETAS,
39045,ME35012,AMOXICILINA 500 MG X 12 CAPSULAS,
39047,ME34160,AMOXICILINA - ACIDO CLAVULANICO 400 MG - 57 MG / 5 ML POLVO PARA SUSPENSION ORAL,
39075,ME40610,ARESAN HCT 20 MG - 12.5 MG X 10 TABLETAS RECUBIERTAS,
39077,ME41093,ASCAFYL SC 80 MG - 0.4 MG / ML SOLUCION ORAL,
39082,ME26047,ATENOLOL 100 MG COMPRIMIDOS,
39083,ME27910,ATENOLOL 50 MG X 30 COMPRIMIDOS,
39084,ME43982,ATORVASTATINA - EZETIMIBA 20 MG - 10 MG COMPRIMIDOS RECUBIERTOS,
39087,ME39007,ATORVASTATINA 40 MG X 30 TABLETAS RECUBIERTAS,
39090,ME28805,AZITROMICINA 500 MG COMPRIMIDOS RECUBIERTOS,
39092,ME20308,BACITRACINA 500 UI / G UNGUENTO,
